id,date,team_1,team_2,home_team,tournament,h2h_win_diff,h2h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,odd_win_diff,odd_draw,result,goal_diff,goal_diff_label
36060,12/21/2014,Jordan,Uzbekistan,Uzbekistan,Friendly,-3,5,3,-2,-2,0,1.0459,2.9412,lose,-1,lose_1
36061,12/22/2014,Iraq,Kuwait,Iraq,Friendly,4,8,-3,-4,0,0,-1.1867,2.8942,draw,0,draw_0
36063,12/27/2014,Estonia,Qatar,Qatar,Friendly,-1,0,-5,-4,-2,-2,3.1788999999999996,3.4248,lose,-3,lose_3
36064,12/28/2014,Iraq,Uzbekistan,Uzbekistan,Friendly,0,1,-1,-1,-3,3,1.2342,2.9565,draw,0,draw_0
36065,12/30/2014,Bahrain,Saudi Arabia,Bahrain,Friendly,-11,8,-14,-3,-2,3,2.1311999999999998,3.0984,win,3,win_3
36066,12/30/2014,Jordan,United Arab Emirates,United Arab Emirates,Friendly,-6,3,3,-2,-1,-3,1.5393,2.9721,lose,-1,lose_1
36067,12/31/2014,Oman,Qatar,Qatar,Friendly,-11,8,-6,6,-2,-1,1.2136999999999998,3.2784,draw,0,draw_0
36069,1/4/2015,Iran,Iraq,Iran,Friendly,8,3,2,2,0,0,-2.2145,2.9968,win,1,win_1
36068,1/4/2015,Bahrain,Jordan,Bahrain,Friendly,-4,3,-6,-6,0,5,0.5065,2.8748,win,1,win_1
36071,1/4/2015,South Africa,Zambia,South Africa,Friendly,-2,7,-8,6,-1,1,-2.7004,3.1076,win,1,win_1
36073,1/7/2015,Cameroon,Congo DR,Cameroon,Friendly,7,8,2,-1,1,2,-3.6182999999999996,3.4555,draw,0,draw_0
36074,1/9/2015,Australia,Kuwait,Australia,AFC Asian Cup,-2,2,8,-1,-2,-2,-8.031,4.7903,win,3,win_3
36081,1/10/2015,North Korea,Uzbekistan,Uzbekistan,AFC Asian Cup,-2,2,4,1,-3,2,2.0035,3.0428,lose,-1,lose_1
36080,1/10/2015,China,Saudi Arabia,Saudi Arabia,AFC Asian Cup,-3,4,-7,-3,0,2,-0.0360999999999998,2.9293,win,1,win_1
36076,1/10/2015,Burkina Faso,Swaziland,Burkina Faso,Friendly,1,0,4,3,2,2,-6.4363,4.6664,win,4,win_3
36078,1/10/2015,Cape Verde,Congo,Cape Verde,Friendly,0,0,3,-3,2,0,-0.4049999999999998,3.105,win,1,win_1
36077,1/10/2015,Cameroon,South Africa,Cameroon,Friendly,-2,2,3,-3,1,-3,-0.8960000000000004,2.8347,draw,0,draw_0
36085,1/11/2015,Qatar,United Arab Emirates,United Arab Emirates,AFC Asian Cup,1,7,7,-4,5,-3,0.1065999999999998,2.8848,lose,-3,lose_3
36084,1/11/2015,Algeria,Tunisia,Tunisia,Friendly,2,8,7,9,3,-3,-0.18259999999999987,2.8541,draw,0,draw_0
36086,1/12/2015,Japan,Palestine,Japan,AFC Asian Cup,0,0,-3,7,-2,1,-19.5925,8.6779,win,4,win_3
36087,1/12/2015,Iraq,Jordan,Jordan,AFC Asian Cup,14,9,-5,2,1,3,-0.9231000000000003,2.8359,win,1,win_1
36089,1/13/2015,South Korea,Kuwait,Kuwait,AFC Asian Cup,1,3,4,-3,1,-3,-7.5387,4.5669,win,1,win_1
36090,1/13/2015,Australia,Oman,Oman,AFC Asian Cup,2,3,1,-8,-1,-1,-6.9838000000000005,4.4162,win,4,win_3
36092,1/14/2015,China,Uzbekistan,China,AFC Asian Cup,-1,1,4,1,-1,2,1.0672000000000001,2.9431,win,1,win_1
36094,1/14/2015,Mali,South Africa,Mali,Friendly,1,2,5,5,-2,-4,0.2261000000000002,2.9885,lose,-3,lose_3
36095,1/15/2015,Bahrain,United Arab Emirates,Bahrain,AFC Asian Cup,-2,4,0,-7,1,0,3.1752,3.4621,lose,-1,lose_1
