,id,date,team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_t1_win,avg_odds_draw,avg_odds_t2_win,result
37087,37087.0,2016-03-24,China,Maldives,China,FIFA World Cup qualification,3.0,0.0,19.0,23.0,15.0,17.0,4.0,4.0,4.0,0.0,,,,win
37088,37088.0,2016-03-24,Botswana,Comoros,Comoros,African Cup of Nations qualification,0.0,1.0,13.0,9.0,10.0,4.0,4.0,0.0,2.0,6.0,,,,lose
37089,37089.0,2016-03-24,Czech Republic,Scotland,Czech Republic,Friendly,3.0,1.0,17.0,18.0,16.0,12.0,6.0,4.0,1.0,3.0,,,,lose
37090,37090.0,2016-03-24,Denmark,Iceland,Denmark,Friendly,17.0,3.0,15.0,15.0,6.0,10.0,3.0,3.0,2.0,3.0,,,,win
37091,37091.0,2016-03-24,Djibouti,Liberia,Djibouti,African Cup of Nations qualification,0.0,0.0,26.0,15.0,14.0,10.0,0.0,3.0,0.0,1.0,,,,lose
37092,37092.0,2016-03-24,Ecuador,Paraguay,Ecuador,FIFA World Cup qualification,-9.0,4.0,17.0,22.0,9.0,11.0,6.0,2.0,2.0,4.0,,,,draw
37093,37093.0,2016-03-24,Estonia,Norway,Estonia,Friendly,-3.0,1.0,16.0,11.0,4.0,6.0,5.0,4.0,1.0,2.0,,,,draw
37094,37094.0,2016-03-24,Ghana,Mozambique,Ghana,African Cup of Nations qualification,3.0,1.0,18.0,17.0,9.0,9.0,5.0,4.0,2.0,2.0,,,,win
37095,37095.0,2016-03-24,Greece,Montenegro,Greece,Friendly,0.0,0.0,10.0,13.0,9.0,11.0,1.0,2.0,3.0,2.0,,,,win
37096,37096.0,2016-03-24,India,Iran,Iran,FIFA World Cup qualification,-3.0,1.0,16.0,18.0,12.0,14.0,4.0,5.0,1.0,4.0,,,,lose
37097,37097.0,2016-03-24,Iraq,Thailand,Iraq,FIFA World Cup qualification,5.0,4.0,24.0,14.0,11.0,12.0,4.0,5.0,2.0,2.0,,,,draw
37098,37098.0,2016-03-24,Italy,Spain,Italy,Friendly,-1.0,12.0,13.0,14.0,10.0,5.0,5.0,8.0,3.0,0.0,,,,draw
37099,37099.0,2016-03-24,Afghanistan,Japan,Japan,FIFA World Cup qualification,-1.0,0.0,24.0,12.0,13.0,16.0,6.0,5.0,0.0,4.0,,,,lose
37100,37100.0,2016-03-24,Bangladesh,Jordan,Jordan,FIFA World Cup qualification,-1.0,0.0,17.0,17.0,16.0,9.0,3.0,7.0,1.0,2.0,,,,lose
37101,37101.0,2016-03-24,Korea Republic,Lebanon,Korea Republic,FIFA World Cup qualification,6.0,2.0,19.0,11.0,9.0,12.0,8.0,4.0,2.0,2.0,,,,win
37102,37102.0,2016-03-24,Central African Republic,Madagascar,Madagascar,African Cup of Nations qualification,0.0,1.0,17.0,15.0,11.0,14.0,1.0,4.0,2.0,4.0,,,,draw
37103,37103.0,2016-03-24,Malta,Moldova,Malta,Friendly,-2.0,2.0,12.0,7.0,6.0,10.0,1.0,0.0,2.0,4.0,,,,draw
37104,37104.0,2016-03-24,Guam,Oman,Oman,FIFA World Cup qualification,0.0,1.0,15.0,12.0,8.0,8.0,2.0,5.0,3.0,3.0,,,,lose
37105,37105.0,2016-03-24,Peru,Venezuela,Peru,FIFA World Cup qualification,13.0,3.0,12.0,13.0,10.0,15.0,5.0,3.0,1.0,1.0,,,,draw
37106,37106.0,2016-03-24,Hong Kong,Qatar,Qatar,FIFA World Cup qualification,-6.0,0.0,19.0,30.0,5.0,7.0,6.0,7.0,2.0,1.0,,,,lose
37107,37107.0,2016-03-24,Malaysia,Saudi Arabia,Saudi Arabia,FIFA World Cup qualification,-5.0,2.0,24.0,20.0,14.0,13.0,2.0,6.0,3.0,1.0,,,,lose
37108,37108.0,2016-03-24,Burma,Singapore,Singapore,Friendly,0.0,3.0,26.0,16.0,8.0,13.0,1.0,5.0,2.0,2.0,,,,lose
37109,37109.0,2016-03-24,Papua New Guinea,Solomon Islands,Solomon Islands,Friendly,-9.0,4.0,14.0,23.0,29.0,12.0,3.0,2.0,2.0,2.0,,,,lose
37110,37110.0,2016-03-24,Cambodia,Syria,Syria,FIFA World Cup qualification,-2.0,0.0,18.0,14.0,16.0,27.0,2.0,7.0,0.0,1.0,,,,lose
37111,37111.0,2016-03-24,Sweden,Turkey,Turkey,Friendly,-1.0,4.0,15.0,15.0,12.0,10.0,5.0,8.0,3.0,2.0,,,,lose
37112,37112.0,2016-03-24,Cyprus,Ukraine,Ukraine,Friendly,1.0,1.0,18.0,11.0,12.0,7.0,4.0,5.0,0.0,3.0,,,,lose
37113,37113.0,2016-03-24,Palestine,United Arab Emirates,United Arab Emirates,FIFA World Cup qualification,-1.0,2.0,11.0,32.0,14.0,6.0,1.0,7.0,5.0,1.0,,,,lose
37114,37114.0,2016-03-24,Philippines,Uzbekistan,Uzbekistan,FIFA World Cup qualification,-1.0,0.0,15.0,18.0,10.0,18.0,3.0,5.0,2.0,1.0,,,,lose
37115,37115.0,2016-03-24,Taiwan,Vietnam,Vietnam,FIFA World Cup qualification,-1.0,0.0,38.0,15.0,12.0,18.0,2.0,4.0,0.0,3.0,,,,lose
37116,37116.0,2016-03-24,Northern Ireland,Wales,Wales,Friendly,-18.0,22.0,12.0,8.0,10.0,7.0,4.0,6.0,4.0,3.0,,,,draw
37117,37117.0,2016-03-25,Algeria,Ethiopia,Algeria,African Cup of Nations qualification,1.0,2.0,15.0,11.0,14.0,11.0,5.0,1.0,1.0,5.0,,,,win
37118,37118.0,2016-03-25,Armenia,Belarus,Armenia,Friendly,-3.0,1.0,16.0,17.0,9.0,12.0,0.0,4.0,2.0,1.0,,,,draw
