team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_win_1,avg_odds_draw,avg_odds_win_2
164,197,164,22,2,2,13,24,5,8,1,3,1,3,1.2733,4.615,10.0317
15,176,176,21,-3,1,15,23,16,14,0,5,2,1,11.5625,6.75,1.135
134,153,153,21,-2,1,9,10,5,14,3,6,3,2,5.15,3.2596,1.7088
55,172,55,22,0,0,18,18,6,7,5,4,3,1,2.4167,3.0908,2.6683
177,194,194,22,-1,1,16,20,14,6,5,2,1,2,2.972,3.2319999999999998,2.1919999999999997
114,125,125,7,0,0,16,14,8,6,3,2,2,4,1.2477,5.2823,9.9781
37,135,37,22,2,0,14,10,12,10,7,3,2,3,1.2792,4.8371,10.4971
17,122,17,22,-1,0,10,12,12,15,4,6,1,3,2.5911,3.0846,2.7239
90,145,145,22,1,6,9,10,10,9,6,4,3,4,2.2493,3.1937,3.153
109,136,136,22,-1,1,13,8,11,14,4,4,1,2,6.8107,3.7715,1.4963
107,182,107,22,-3,0,25,16,13,15,0,4,0,5,21.4292,7.5033,1.0675
37,188,188,21,-27,17,14,16,10,12,3,5,3,4,5.5893,3.6507,1.6021
93,194,93,1,2,0,13,19,13,5,5,1,4,3,1.0936,7.475,21.0475
92,119,92,21,-10,2,11,6,9,12,3,5,3,4,5.747000000000001,3.5867,1.5941
12,167,12,22,0,0,11,12,5,12,1,10,4,0,17.475,7.4745,1.115
11,95,11,36,0,0,15,17,14,20,4,3,1,0,1.247,5.2652,11.9615
54,188,188,21,-24,9,25,18,4,12,8,5,0,5,7.6158,4.0821,1.4383
152,173,152,36,-2,0,25,13,26,14,0,5,0,1,52.3681,19.8062,1.0104
14,94,14,22,-4,3,19,9,13,8,3,4,3,4,1.7,3.3,4.5
11,172,172,21,6,5,20,16,11,9,3,5,2,3,4.5781,3.605,1.7708
14,179,14,22,0,0,20,17,6,4,6,3,2,3,1.5943,3.5643,5.3343
68,89,89,36,-1,2,13,16,9,11,4,3,5,2,4.8177,3.3545,1.7782
66,195,66,5,0,0,16,12,11,16,5,6,2,3,2.5012,3.1572,2.7528
137,187,137,22,-6,7,14,9,12,11,5,2,4,4,2.1,3.2,3.0667
47,88,47,36,-6,0,13,7,9,13,4,4,0,2,7.2455,3.8273,1.4209
32,114,114,5,5,2,10,14,12,12,4,4,3,1,2.0052,3.1469,3.8614
36,111,36,6,-1,0,15,15,13,10,0,5,3,4,5.4567,3.61,1.5562
68,161,161,22,-2,1,15,18,8,9,2,6,4,2,6.57,3.8004,1.5
188,191,188,21,12,4,20,15,15,12,3,4,4,2,1.4267,3.7671,7.0914
