id,date,team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_win_1,avg_odds_draw,avg_odds_win_2,result,goal_diff
27385,2005-08-17,Bosnia-Herzegovina,Estonia,Estonia,Friendly,1,1,13,23,10,7,3,1,4,3,2.5356,3.1533,2.46,lose,-1.0
27381,2005-08-17,Bulgaria,Turkey,Bulgaria,Friendly,2,6,12,13,13,13,2,3,6,4,2.5009,3.0791,2.5864,win,2.0
27405,2005-08-17,Norway,Switzerland,Norway,Friendly,3,4,8,15,9,8,5,3,5,5,1.921,3.185,3.539,lose,-2.0
27383,2005-08-17,Denmark,England,Denmark,Friendly,-8,4,14,16,13,7,4,7,3,2,2.9944,3.1689,2.21,win,3.0
27401,2005-08-17,Malta,Northern Ireland,Malta,Friendly,-5,0,24,10,17,14,0,2,1,4,5.3291,3.4745,1.5673,draw,0.0
27408,2005-08-17,Israel,Poland,Poland,Friendly,-2,4,13,16,13,15,3,6,6,2,3.692,3.23,1.888,lose,-1.0
27380,2005-08-17,Belgium,Greece,Belgium,Friendly,-1,1,19,12,12,8,3,4,2,3,2.2164,3.1,2.9691,win,2.0
27414,2005-08-17,Czech Republic,Sweden,Sweden,Friendly,0,1,16,13,16,21,7,6,1,3,2.7910000000000004,3.128,2.3080000000000003,lose,-1.0
27378,2005-08-17,Austria,Scotland,Austria,Friendly,3,5,15,11,16,12,3,3,5,3,1.5845,3.4309,5.4409,draw,0.0
27391,2005-08-17,Ireland,Italy,Ireland,Friendly,-5,0,13,13,5,6,5,6,5,3,2.8064,2.9464,2.4509,lose,-1.0
27404,2005-08-17,Germany,Netherlands,Netherlands,Friendly,3,13,17,16,26,10,5,7,3,3,3.78,3.1873,1.8882,draw,0.0
27387,2005-08-17,France,Ivory Coast,France,Friendly,0,0,3,20,8,9,2,7,7,2,1.423,3.767,7.117000000000001,win,3.0
27382,2005-08-17,Brazil,Croatia,Croatia,Friendly,0,0,21,21,15,12,6,5,2,3,1.8418,3.2227,3.8436,draw,0.0
27384,2005-08-17,Ecuador,Venezuela,Ecuador,Friendly,4,1,22,17,6,12,7,2,1,3,1.47,3.61,6.1167,win,2.0
